time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D,P77_PIT_1244007C,P77_PIT_1244008C,P77_PIT_1244007D,P77_PIT_1244008D,P77_SDY_1210002C,P77_SDY_1210002D
15-nov-22 03:08:00,0,0,8.15625,20.34065437,29772.3457,29888.78906,41515.69141,41543.74609,On,On
15-nov-22 03:09:00,0,0,8.15625,20.32500076,29761.23828,29865.15234,41348.46094,41309.58594,On,On
15-nov-22 03:10:00,0,0,8.15625,20.32500076,29748.87109,29858.83594,41125.72656,41003.88281,On,On
15-nov-22 03:11:00,0,0,8.15625,20.32500076,29764.77539,29867.47852,41237.67578,41211.86328,On,On
15-nov-22 03:12:00,0,0,8.153143883,20.33124924,29761.98828,29878.01563,41289.62109,41326.71484,On,On
15-nov-22 03:13:00,0,0,8.15625,20.32813644,29759.17578,29856.61328,41083.59375,40949.95703,On,On
15-nov-22 03:14:00,0,0,8.15625,20.32813454,29769.04492,29871.62695,41312.875,41250.10547,On,On
15-nov-22 03:15:00,0,0,8.15625,20.33124924,29765.53906,29871.61133,41328.57031,41280.07031,On,On
15-nov-22 03:16:00,0,0,8.15625,20.33124924,29755.35742,29854.47266,41002.26172,40956.02344,On,On
15-nov-22 03:17:00,0,0,8.15625,20.32813835,29768.56055,29871.60938,41442.64453,41385.22656,On,On
15-nov-22 03:18:00,0,0,8.15625,20.33124924,29766.33398,29867.32031,41552.63281,41512.23438,On,On
15-nov-22 03:19:00,0,0,8.15625,20.33124924,29752.66016,29858.74609,41448.60938,41376.86328,On,On
15-nov-22 03:20:00,0,0,8.153098106,20.33440018,29766.01563,29875.98242,41562.04297,41484.03906,On,On
15-nov-22 03:21:00,0,0,8.153094292,20.33124924,29740.25195,29839.26367,41016.49219,40884.62109,On,On
15-nov-22 03:22:00,0,0,8.153180122,20.33749962,29778.9082,29871.60938,41593.24609,41498.63281,On,On
15-nov-22 03:23:00,0,0,8.15625,20.33431625,29764.26953,29873.7207,41671.59375,41647.9375,On,On
15-nov-22 03:24:00,0,0,8.153059006,20.33124924,29715.29297,29824.47461,40679.60938,40662.98828,On,On
15-nov-22 03:25:00,0,0,8.15625,20.33428574,29759.48633,29865.35156,41318.66797,41246.875,On,On
15-nov-22 03:26:00,0,0,8.149999619,20.33427811,29742.80078,29858.60156,41426.10156,41364.42969,On,On
15-nov-22 03:27:00,0,0,8.149999619,20.34073067,29785.74023,29899.45313,42224.72656,42161.51953,On,On
15-nov-22 03:28:00,0,0,8.149999619,20.33449936,29738.50977,29843.79102,41361.6875,41367.3125,On,On
15-nov-22 03:29:00,0,0,8.149999619,20.33749962,29755.67969,29850.30469,41301.57813,41255.60938,On,On
15-nov-22 03:30:00,0,0,8.149999619,20.33124924,29708.44922,29817.47852,40756.73828,40691.11719,On,On
15-nov-22 03:31:00,0,0,8.149999619,20.33749962,29729.91992,29847.58594,40972.47266,40989.65234,On,On
15-nov-22 03:32:00,0,0,8.149999619,20.33749962,29750.11914,29854.43164,41435.94141,41348.875,On,On
15-nov-22 03:33:00,0,0,8.149999619,20.33749962,29742.16602,29830.71289,41144.62891,41084.63281,On,On
15-nov-22 03:34:00,0,0,8.149999619,20.33749962,29723.80469,29847.88672,41179.24219,41081.69531,On,On
15-nov-22 03:35:00,0,0,8.149999619,20.33443832,29725.63086,29824.29688,40993.96484,40974.01172,On,On
15-nov-22 03:36:00,0,0,8.149999619,20.33749962,29734.21094,29841.64258,41437.00781,41401.21484,On,On
15-nov-22 03:37:00,0,0,8.149999619,20.33124924,29716.46484,29828.85547,41096.87109,41071.08984,On,On
15-nov-22 03:38:00,0,0,8.149999619,20.33749962,29729.24805,29826.57031,41267.70313,41220.23828,On,On
