,Unnamed: 0,Unnamed: 0.1,time,oil_well,ZIT_1244002,PIT_1244007,PIT_1244008,SDY_1210002
207,207,207,2022-11-21 23:24:57.004713,well injection D,21.03125,,,
208,208,208,2022-11-21 23:24:57.267316,well injection C,8.631250381469727,29072.98046875,29176.029296875,False
209,209,209,2022-11-21 23:24:57.267316,well injection D,,32890.12109375,32834.30078125,
210,210,210,2022-11-21 23:25:02.834490,well injection D,21.03125,,,
211,211,211,2022-11-21 23:25:03.254354,well injection C,8.631250381469727,29077.26953125,29180.3203125,False
212,212,212,2022-11-21 23:25:03.254354,well injection D,,32877.23828125,32825.7109375,
213,213,213,2022-11-21 23:25:09.058504,well injection D,21.03125,,,
214,214,214,2022-11-21 23:25:09.384398,well injection C,8.631250381469727,29077.26953125,29176.029296875,False
215,215,215,2022-11-21 23:25:09.384398,well injection D,,32890.12109375,32838.6015625,
216,216,216,2022-11-21 23:25:14.878232,well injection D,21.03125,,,
217,217,217,2022-11-21 23:25:15.350552,well injection C,8.631250381469727,29072.98046875,29171.73046875,False
218,218,218,2022-11-21 23:25:15.350552,well injection D,,32890.12109375,32838.6015625,
219,219,219,2022-11-21 23:25:20.805972,well injection D,21.03125,,,
220,220,220,2022-11-21 23:25:21.199404,well injection C,8.631250381469727,29068.6796875,29167.439453125,False
221,221,221,2022-11-21 23:25:21.199404,well injection D,,32877.23828125,32825.7109375,
222,222,222,2022-11-21 23:25:26.872275,well injection D,21.03125,,,
223,223,223,2022-11-21 23:25:27.491911,well injection C,8.631250381469727,29055.80078125,29158.849609375,False
224,224,224,2022-11-21 23:25:27.491911,well injection D,,32864.359375,32817.12890625,
225,225,225,2022-11-21 23:25:33.093241,well injection D,21.03125,,,
226,226,226,2022-11-21 23:25:33.484462,well injection C,8.631250381469727,29077.26953125,29180.3203125,False
227,227,227,2022-11-21 23:25:33.484462,well injection D,,32877.23828125,32821.421875,
228,228,228,2022-11-21 23:25:39.063708,well injection D,21.03125,,,
229,229,229,2022-11-21 23:25:39.608411,well injection C,8.625,29068.6796875,29167.439453125,False
