time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D
15-nov-22 05:38:00,0,0,8.146924019,20.34057617
15-nov-22 05:39:00,0,0,8.143750191,20.33441162
15-nov-22 05:40:00,0,0,8.143750191,20.34058952
15-nov-22 05:41:00,0,0,8.143750191,20.33749962
15-nov-22 05:42:00,0,0,8.146824837,20.33749962
15-nov-22 05:43:00,0,0,8.143750191,20.33749962
15-nov-22 05:44:00,0,0,8.143750191,20.33749962
15-nov-22 05:45:00,0,0,8.143750191,20.33749962
15-nov-22 05:46:00,0,0,8.146852493,20.33749962
15-nov-22 05:47:00,0,0,8.143750191,20.33124924
15-nov-22 05:48:00,0,0,8.143750191,20.33434677
15-nov-22 05:49:00,0,0,8.143750191,20.33439636
15-nov-22 05:50:00,0,0,8.143750191,20.33749962
15-nov-22 05:51:00,0,0,8.143750191,20.33439636
15-nov-22 05:52:00,0,0,8.143750191,20.33124924
15-nov-22 05:53:00,0,0,8.143750191,20.33440208
15-nov-22 05:54:00,0,0,8.143750191,20.33124924
15-nov-22 05:55:00,0,0,8.143750191,20.33124924
15-nov-22 05:56:00,0,0,8.143750191,20.33124924
15-nov-22 05:57:00,0,0,8.143750191,20.3280983
15-nov-22 05:58:00,0,0,8.143750191,20.33124924
15-nov-22 05:59:00,0,0,8.143750191,20.33124924
15-nov-22 06:00:00,0,0,8.143750191,20.33124924
15-nov-22 06:01:00,0,0,8.143750191,20.33124924
15-nov-22 06:02:00,0,0,8.143750191,20.32500076
15-nov-22 06:03:00,0,0,8.146923065,20.33124924
15-nov-22 06:04:00,0,0,8.143750191,20.33124924
15-nov-22 06:05:00,0,0,8.143750191,20.32500076
15-nov-22 06:06:00,0,0,8.143750191,20.33124924
15-nov-22 06:07:00,0,0,8.143750191,20.33124924
15-nov-22 06:08:00,0,0,8.147047997,20.32500076
15-nov-22 06:09:00,0,0,8.143750191,20.32807541
15-nov-22 06:10:00,0,0,8.143750191,20.32500076
15-nov-22 06:11:00,0,0,8.143750191,20.32500076
15-nov-22 06:12:00,0,0,8.143750191,20.32500076
15-nov-22 06:13:00,0,0,8.143750191,20.32500076
15-nov-22 06:14:00,0,0,8.143750191,20.32187653
15-nov-22 06:15:00,0,0,8.146877289,20.32500076
15-nov-22 06:16:00,0,0,8.143750191,20.31875038
15-nov-22 06:17:00,0,0,8.143750191,20.31875038
15-nov-22 06:18:00,0,0,8.143750191,20.31562614
15-nov-22 06:19:00,0,0,8.143750191,20.31875038
15-nov-22 06:20:00,0,0,8.143750191,20.31875038
15-nov-22 06:21:00,0,0,8.146875381,20.31562614
15-nov-22 06:22:00,0,0,8.143750191,20.31875038
15-nov-22 06:23:00,0,0,8.143750191,20.31875038
15-nov-22 06:24:00,0,0,8.143750191,20.3125
15-nov-22 06:25:00,0,0,8.146855354,20.3125
15-nov-22 06:26:00,0,0,8.149999619,20.3125
15-nov-22 06:27:00,0,0,8.149999619,20.3125
15-nov-22 06:28:00,0,0,8.149999619,20.3093605
15-nov-22 06:29:00,0,0,8.149999619,20.3125
15-nov-22 06:30:00,0,0,8.15625,20.3125
15-nov-22 06:31:00,0,0,8.15625,20.3093605
15-nov-22 06:32:00,0,0,8.15625,20.30624962
15-nov-22 06:33:00,0,0,8.15625,20.30319023
15-nov-22 06:34:00,0,0,8.15625,20.30306053
15-nov-22 06:35:00,0,0,8.15625,20.30624962
15-nov-22 06:36:00,0,0,8.15625,20.29999924
15-nov-22 06:37:00,0,0,8.15625,20.30312538
15-nov-22 06:38:00,0,0,8.15625,20.30624962
15-nov-22 06:39:00,0,0,8.15625,20.3125
15-nov-22 06:40:00,0,0,8.15625,20.30312729
15-nov-22 06:41:00,0,0,8.15625,20.29999924
15-nov-22 06:42:00,0,0,8.15625,20.29999924
15-nov-22 06:43:00,0,0,8.162500381,20.30624962
15-nov-22 06:44:00,0,0,8.162500381,20.30624962
15-nov-22 06:45:00,0,0,8.159434319,20.30306435
15-nov-22 06:46:00,0,0,8.162500381,20.29999924
15-nov-22 06:47:00,0,0,8.15625,20.29999924
15-nov-22 06:48:00,0,0,8.15625,20.30624962
15-nov-22 06:49:00,0,0,8.15625,20.30318451
15-nov-22 06:50:00,0,0,8.15625,20.29693985
15-nov-22 06:51:00,0,0,8.15625,20.29375076
15-nov-22 06:52:00,0,0,8.159313202,20.29375076
15-nov-22 06:53:00,0,0,8.162500381,20.29375076
15-nov-22 06:54:00,0,0,8.162500381,20.29375076
15-nov-22 06:55:00,0,0,8.162500381,20.29375076
15-nov-22 06:56:00,0,0,8.162500381,20.29375076
15-nov-22 06:57:00,0,0,8.162500381,20.28750038
15-nov-22 06:58:00,0,0,8.162500381,20.28750038
15-nov-22 06:59:00,0,0,8.162500381,20.28750038
15-nov-22 07:00:00,0,0,8.162500381,20.29375076
15-nov-22 07:01:00,0,0,8.162500381,20.28750038
15-nov-22 07:02:00,0,0,8.168749809,20.28442955
15-nov-22 07:03:00,0,0,8.168749809,20.27499962
15-nov-22 07:04:00,0,0,8.168749809,20.27499962
15-nov-22 07:05:00,0,0,8.168749809,20.28432655
15-nov-22 07:06:00,0,0,8.168749809,20.28432465
15-nov-22 07:07:00,0,0,8.168749809,20.27192497
15-nov-22 07:08:00,0,0,8.175000191,20.26874924
15-nov-22 07:09:00,0,0,8.175000191,20.26874924
15-nov-22 07:10:00,0,0,8.175000191,20.27499962
15-nov-22 07:11:00,0,0,8.175000191,20.27192116
15-nov-22 07:12:00,0,0,8.178079605,20.25625038
15-nov-22 07:13:00,0,0,8.181249619,20.26558685
15-nov-22 07:14:00,0,0,8.178166389,20.27191544
15-nov-22 07:15:00,0,0,8.178079605,20.27191925
15-nov-22 07:16:00,0,0,8.178161621,20.26250076
15-nov-22 07:17:00,0,0,8.181249619,20.26250076
15-nov-22 07:18:00,0,0,8.181249619,20.26250076
15-nov-22 07:19:00,0,0,8.181249619,20.26250076
15-nov-22 07:20:00,0,0,8.181249619,20.25625038
